RK,TEAM,W,L,T,SOS,PR
283,JACKSONVILLE,16,17,0,62.77,62.95
284,AMERICAN,16,16,0,63.24,62.94
285,MERCER,16,17,0,63.51,62.92
286,CENTRAL MICHIGAN,18,13,0,65.93,62.91
287,MIDDLE TENNESSEE ST.,13,18,0,66.52,62.78
288,BETHUNE-COOKMAN,16,15,0,62.51,62.60
289,TEXAS SOUTHERN,14,15,0,62.63,62.58
290,NAVY,13,18,0,62.70,62.53
291,MORGAN ST.,11,19,0,65.07,62.46
292,NORTH DAKOTA ST.,15,17,0,62.70,62.30
293,ELON,13,19,0,64.77,62.29
294,SAN DIEGO,18,15,0,67.23,62.27
295,LOUISIANA MONROE,11,19,0,66.52,62.17
296,DEPAUL,3,28,0,78.87,62.15
297,SIU EDWARDSVILLE,17,16,0,61.37,62.14
298,SOUTHERN,18,13,0,59.96,62.11
299,VALPARAISO,7,25,0,70.17,62.00
300,ALCORN ST.,14,17,0,66.29,61.92
301,COASTAL CAROLINA,9,22,0,66.91,61.86
302,WESTERN ILLINOIS,21,12,0,59.53,61.77
303,TENNESSEE ST.,18,15,0,60.19,61.64
304,IDAHO,11,21,0,65.51,61.54
305,ORAL ROBERTS,12,19,0,63.98,61.45
306,UTAH TECH,11,20,0,67.64,61.39
307,LAFAYETTE,11,21,0,66.12,61.02
308,CITADEL,11,21,0,62.31,60.89
309,FAIRLEIGH DICKINSON,15,17,0,63.72,60.89
310,NEBRASKA OMAHA,15,18,0,60.31,60.89
311,ALABAMA ST.,13,18,0,61.03,60.72
312,CHARLESTON SOUTHERN,10,20,0,65.66,60.71
313,CAMPBELL,14,18,0,62.53,60.52
314,EASTERN ILLINOIS,14,18,0,60.42,60.50
315,BELLARMINE,8,23,0,65.13,60.47
316,CHICAGO ST.,12,18,0,54.04,60.31
317,HOWARD,15,16,0,60.23,60.19
318,DENVER,17,16,0,58.87,60.05
319,N.J. TECH,7,21,0,67.50,60.05
320,NORTHERN ARIZONA,14,19,0,67.42,59.89
321,JACKSON ST.,15,16,0,64.31,59.84
322,SOUTH CAROLINA ST.,14,17,0,63.81,59.74
323,HAMPTON,9,24,0,64.63,59.65
324,GRAMBLING ST.,17,14,0,61.70,59.60
325,DARTMOUTH,6,21,0,68.79,59.51
326,DELAWARE ST.,13,17,0,61.15,59.41
327,SE LOUISIANA,15,17,0,61.55,59.25
328,CENTRAL ARKANSAS,9,23,0,64.37,58.95
329,MANHATTAN,7,22,0,67.63,58.76
330,CAL POLY,4,28,0,67.82,58.74
331,ALABAMA A&M,10,21,0,64.78,58.65
332,TEXAS A&M COMMERCE,13,20,0,62.11,58.51
333,TEXAS RIO GRANDE VALLEY,6,25,0,67.44,58.34
334,NORTHWESTERN ST.,9,23,0,63.30,58.31
335,EASTERN MICHIGAN,13,18,0,63.92,58.22
336,SOUTH DAKOTA,12,20,0,61.89,58.03
337,ARKANSAS-PINE BLUFF,13,18,0,60.13,57.99
338,SOUTHERN INDIANA,8,24,0,61.80,57.00
339,DETROIT,1,31,0,69.57,56.79
340,LONG ISLAND UNIVERSITY,7,22,0,65.81,56.75
341,BUFFALO,4,27,0,67.84,56.62
342,FLORIDA A&M,6,23,0,65.34,56.50
343,LOYOLA MARYLAND,7,25,0,64.26,56.17
344,NORTH CAROLINA A&T,7,25,0,68.29,56.15
345,TENNESSEE TECH,10,21,0,62.61,55.97
346,NEW ORLEANS,10,23,0,61.53,55.97
347,ST. FRANCIS PA.,8,22,0,63.44,55.96
348,PRAIRIE VIEW,10,21,0,62.20,55.95
349,HOLY CROSS,10,23,0,63.33,55.92
350,INCARNATE WORD,8,23,0,62.32,55.68
351,ARMY,10,22,0,60.31,55.30
352,MARYLAND EASTERN SHORE,9,19,0,57.40,54.25
353,HOUSTON CHRISTIAN,6,23,0,64.63,54.22
354,SIENA,4,27,0,67.01,53.74
355,LINDENWOOD,9,22,0,60.30,53.53
356,STONEHILL,4,27,0,65.19,53.44
357,SE MISSOURI ST.,9,22,0,57.22,52.71
358,COPPIN ST.,2,26,0,66.35,52.18
359,PACIFIC,6,26,0,64.64,51.64
360,VMI,4,28,0,64.63,51.20
361,IUPUI,6,26,0,63.43,50.69
362,MISSISSIPPI VALLEY ST.,1,30,0,67.77,49.01
